Eugene
Lazurin
24d8ddfab44a4c87dce7313188dfe051
[7.5.2020 | 23:1:29] {"type":"cmd","data":"run"}
,[7.5.2020 | 23:1:29] {"client-id":"275015ae-1983-46d1-b02c-29ad1d257aa7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.5.2020 | 23:1:29] {"client-id":"275015ae-1983-46d1-b02c-29ad1d257aa7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.5.2020 | 23:1:29] {"client-id":"275015ae-1983-46d1-b02c-29ad1d257aa7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.5.2020 | 23:1:29] {"client-id":"275015ae-1983-46d1-b02c-29ad1d257aa7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.5.2020 | 23:1:29] {"client-id":"275015ae-1983-46d1-b02c-29ad1d257aa7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.5.2020 | 23:1:29] {"client-id":"275015ae-1983-46d1-b02c-29ad1d257aa7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.5.2020 | 23:1:29] {"client-id":"275015ae-1983-46d1-b02c-29ad1d257aa7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.5.2020 | 23:1:30] {"client-id":"275015ae-1983-46d1-b02c-29ad1d257aa7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.5.2020 | 23:1:30] {"client-id":"275015ae-1983-46d1-b02c-29ad1d257aa7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.5.2020 | 23:1:30] {"client-id":"275015ae-1983-46d1-b02c-29ad1d257aa7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.5.2020 | 23:1:30] {"client-id":"275015ae-1983-46d1-b02c-29ad1d257aa7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.5.2020 | 23:1:30] {"client-id":"275015ae-1983-46d1-b02c-29ad1d257aa7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.5.2020 | 23:1:30] {"client-id":"275015ae-1983-46d1-b02c-29ad1d257aa7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.5.2020 | 23:1:30] {"client-id":"275015ae-1983-46d1-b02c-29ad1d257aa7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.5.2020 | 23:1:30] {"client-id":"275015ae-1983-46d1-b02c-29ad1d257aa7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.5.2020 | 23:1:30] {"client-id":"275015ae-1983-46d1-b02c-29ad1d257aa7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.5.2020 | 23:1:31] {"client-id":"275015ae-1983-46d1-b02c-29ad1d257aa7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.5.2020 | 23:1:31] {"client-id":"275015ae-1983-46d1-b02c-29ad1d257aa7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.5.2020 | 23:1:31] {"client-id":"275015ae-1983-46d1-b02c-29ad1d257aa7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.5.2020 | 23:1:31] {"client-id":"275015ae-1983-46d1-b02c-29ad1d257aa7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.5.2020 | 23:1:31] {"client-id":"275015ae-1983-46d1-b02c-29ad1d257aa7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.5.2020 | 23:1:31] {"client-id":"275015ae-1983-46d1-b02c-29ad1d257aa7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.5.2020 | 23:1:31] {"client-id":"275015ae-1983-46d1-b02c-29ad1d257aa7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.5.2020 | 23:1:31] {"client-id":"275015ae-1983-46d1-b02c-29ad1d257aa7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.5.2020 | 23:1:31] {"client-id":"275015ae-1983-46d1-b02c-29ad1d257aa7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.5.2020 | 23:1:31] {"client-id":"275015ae-1983-46d1-b02c-29ad1d257aa7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
